test_only,False
model_saved,./models_cutout/model_cutout_sgd_no_cutout
optimizer,sgd
log,logs/resnet18_sgd.csv
ckpt,
use_cutout,False
epochs,200
gpu,0

epoch,train_acc,valid_acc,lr
1,0.4068222222222222,0.5392,0.1
2,0.5882,0.6462,0.1
3,0.6877333333333333,0.7206,0.1
4,0.7378,0.7428,0.1
5,0.775,0.7336,0.1
6,0.8018444444444445,0.7586,0.1
7,0.8192222222222222,0.8046,0.1
8,0.8343555555555555,0.7902,0.1
9,0.8466222222222223,0.8156,0.1
10,0.8597555555555556,0.8186,0.1
11,0.8670666666666667,0.8228,0.1
12,0.8752888888888889,0.8328,0.1
13,0.8838444444444444,0.8452,0.1
14,0.8931555555555556,0.857,0.1
15,0.8975111111111111,0.849,0.1
16,0.9016888888888889,0.8524,0.1
17,0.9087111111111111,0.8558,0.1
18,0.9135555555555556,0.8706,0.1
19,0.9168888888888889,0.8588,0.1
20,0.9220222222222222,0.8774,0.1
21,0.9259111111111111,0.8616,0.1
22,0.9276222222222222,0.8686,0.1
23,0.9317333333333333,0.8694,0.1
24,0.9377333333333333,0.8724,0.1
25,0.9385777777777777,0.8756,0.1
26,0.9397111111111112,0.8752,0.1
27,0.9442444444444444,0.88,0.1
28,0.9452666666666667,0.878,0.1
29,0.9476,0.8816,0.1
30,0.9514666666666667,0.8676,0.1
31,0.9500888888888889,0.8842,0.1
32,0.9536888888888889,0.8496,0.1
33,0.9566,0.8834,0.1
34,0.9550888888888889,0.8812,0.1
35,0.9580222222222222,0.873,0.1
36,0.9597111111111111,0.8704,0.1
37,0.9588444444444445,0.8602,0.1
38,0.9612,0.8908,0.1
39,0.9628222222222222,0.8818,0.1
40,0.9666444444444444,0.8874,0.1
41,0.9651555555555555,0.8848,0.1
42,0.9676666666666667,0.8858,0.1
43,0.9653777777777778,0.8786,0.1
44,0.9665555555555555,0.8822,0.1
45,0.9681777777777778,0.8754,0.1
46,0.9702,0.896,0.1
47,0.972,0.8982,0.1
48,0.9710222222222222,0.8742,0.1
49,0.9722666666666666,0.8904,0.1
50,0.9716888888888889,0.8938,0.1
51,0.9716222222222223,0.901,0.1
52,0.9726666666666667,0.881,0.1
53,0.9741555555555556,0.891,0.1
54,0.9731111111111111,0.8946,0.1
55,0.9739555555555556,0.883,0.1
56,0.9749777777777778,0.8884,0.1
57,0.9746444444444444,0.883,0.1
58,0.9746,0.8992,0.1
59,0.9760888888888889,0.8812,0.1
60,0.9769111111111111,0.8888,0.020000000000000004
61,0.9908444444444444,0.9246,0.020000000000000004
62,0.9949111111111111,0.9238,0.020000000000000004
63,0.9960444444444444,0.9276,0.020000000000000004
64,0.9964888888888889,0.9302,0.020000000000000004
65,0.9969777777777777,0.9334,0.020000000000000004
66,0.9973111111111111,0.9304,0.020000000000000004
67,0.9976222222222222,0.9306,0.020000000000000004
68,0.9973777777777778,0.9314,0.020000000000000004
69,0.9983777777777778,0.9328,0.020000000000000004
70,0.9982444444444445,0.9316,0.020000000000000004
71,0.9983777777777778,0.9322,0.020000000000000004
72,0.9985111111111111,0.9326,0.020000000000000004
73,0.9984666666666666,0.9334,0.020000000000000004
74,0.9985555555555555,0.9292,0.020000000000000004
75,0.9984888888888889,0.9316,0.020000000000000004
76,0.9981777777777778,0.9318,0.020000000000000004
77,0.9985333333333334,0.9336,0.020000000000000004
78,0.9988444444444444,0.936,0.020000000000000004
79,0.9988,0.9328,0.020000000000000004
80,0.9988222222222222,0.9316,0.020000000000000004
81,0.9992222222222222,0.9352,0.020000000000000004
82,0.9990888888888889,0.934,0.020000000000000004
83,0.9990888888888889,0.9358,0.020000000000000004
84,0.9990666666666667,0.9362,0.020000000000000004
85,0.9991777777777778,0.9354,0.020000000000000004
86,0.9990888888888889,0.9348,0.020000000000000004
87,0.9992888888888889,0.935,0.020000000000000004
88,0.9990888888888889,0.9374,0.020000000000000004
89,0.9989777777777777,0.9382,0.020000000000000004
90,0.9989555555555556,0.9356,0.020000000000000004
91,0.999,0.93,0.020000000000000004
92,0.9992888888888889,0.9332,0.020000000000000004
93,0.9994222222222222,0.9328,0.020000000000000004
94,0.9993333333333333,0.9346,0.020000000000000004
95,0.9991777777777778,0.9306,0.020000000000000004
96,0.9992666666666666,0.936,0.020000000000000004
97,0.9994,0.9316,0.020000000000000004
98,0.9993777777777778,0.9334,0.020000000000000004
99,0.9992888888888889,0.9326,0.020000000000000004
100,0.9993777777777778,0.936,0.020000000000000004
101,0.9994222222222222,0.9348,0.020000000000000004
102,0.9990444444444444,0.9358,0.020000000000000004
103,0.9994222222222222,0.9346,0.020000000000000004
104,0.9992666666666666,0.9342,0.020000000000000004
105,0.9994444444444445,0.9316,0.020000000000000004
106,0.9994888888888889,0.9338,0.020000000000000004
107,0.9995555555555555,0.9334,0.020000000000000004
108,0.9994666666666666,0.935,0.020000000000000004
109,0.9994888888888889,0.9354,0.020000000000000004
110,0.9995777777777778,0.9326,0.020000000000000004
111,0.9994888888888889,0.935,0.020000000000000004
112,0.9995555555555555,0.934,0.020000000000000004
113,0.9994,0.9346,0.020000000000000004
114,0.9993555555555556,0.9374,0.020000000000000004
115,0.9995333333333334,0.9358,0.020000000000000004
116,0.9996888888888888,0.9336,0.020000000000000004
117,0.9993777777777778,0.9342,0.020000000000000004
118,0.9995555555555555,0.9362,0.020000000000000004
119,0.9997111111111111,0.9384,0.020000000000000004
120,0.9995777777777778,0.9372,0.0008000000000000003
121,0.9993777777777778,0.9368,0.0008000000000000003
122,0.9995111111111111,0.9402,0.0008000000000000003
123,0.9996222222222222,0.9392,0.0008000000000000003
124,0.9996222222222222,0.9392,0.0008000000000000003
125,0.9996,0.939,0.0008000000000000003
126,0.9998222222222222,0.9396,0.0008000000000000003
127,0.9996222222222222,0.939,0.0008000000000000003
128,0.9996666666666667,0.9372,0.0008000000000000003
129,0.9998,0.9378,0.0008000000000000003
130,0.9995777777777778,0.9396,0.0008000000000000003
131,0.9997333333333334,0.9394,0.0008000000000000003
132,0.9998222222222222,0.9382,0.0008000000000000003
133,0.9996666666666667,0.9392,0.0008000000000000003
134,0.9996666666666667,0.939,0.0008000000000000003
135,0.9998222222222222,0.9388,0.0008000000000000003
136,0.9997111111111111,0.9386,0.0008000000000000003
137,0.9997555555555555,0.9382,0.0008000000000000003
138,0.9996888888888888,0.9382,0.0008000000000000003
139,0.9996222222222222,0.9388,0.0008000000000000003
140,0.9996888888888888,0.9382,0.0008000000000000003
141,0.9996888888888888,0.9388,0.0008000000000000003
142,0.9997777777777778,0.9386,0.0008000000000000003
143,0.9996888888888888,0.9378,0.0008000000000000003
144,0.9997333333333334,0.9388,0.0008000000000000003
145,0.9997333333333334,0.9388,0.0008000000000000003
146,0.9998,0.9366,0.0008000000000000003
147,0.9996888888888888,0.9372,0.0008000000000000003
148,0.9997555555555555,0.939,0.0008000000000000003
149,0.9997111111111111,0.9378,0.0008000000000000003
150,0.9998,0.938,0.0008000000000000003
151,0.9996444444444444,0.9388,0.0008000000000000003
152,0.9996888888888888,0.9372,0.0008000000000000003
153,0.9998,0.9392,0.0008000000000000003
154,0.9997555555555555,0.9388,0.0008000000000000003
155,0.9996444444444444,0.9384,0.0008000000000000003
156,0.9997333333333334,0.9376,0.0008000000000000003
157,0.9997111111111111,0.9378,0.0008000000000000003
158,0.9998,0.9378,0.0008000000000000003
159,0.9997777777777778,0.9382,0.0008000000000000003
160,0.9997777777777778,0.938,6.400000000000003e-06
161,0.9997111111111111,0.9384,6.400000000000003e-06
162,0.9998444444444444,0.9372,6.400000000000003e-06
163,0.9996222222222222,0.9384,6.400000000000003e-06
164,0.9997111111111111,0.9374,6.400000000000003e-06
165,0.9997111111111111,0.938,6.400000000000003e-06
166,0.9996888888888888,0.9384,6.400000000000003e-06
167,0.9995555555555555,0.9372,6.400000000000003e-06
168,0.9996444444444444,0.9374,6.400000000000003e-06
169,0.9997333333333334,0.9376,6.400000000000003e-06
170,0.9997111111111111,0.9374,6.400000000000003e-06
171,0.9995333333333334,0.9386,6.400000000000003e-06
172,0.9997333333333334,0.937,6.400000000000003e-06
173,0.9998,0.9382,6.400000000000003e-06
174,0.9998444444444444,0.9382,6.400000000000003e-06
175,0.9997333333333334,0.9376,6.400000000000003e-06
176,0.9998444444444444,0.9376,6.400000000000003e-06
177,0.9996888888888888,0.937,6.400000000000003e-06
178,0.9998,0.9368,6.400000000000003e-06
179,0.9996444444444444,0.937,6.400000000000003e-06
180,0.9996444444444444,0.9372,6.400000000000003e-06
181,0.9998222222222222,0.9396,6.400000000000003e-06
182,0.9997555555555555,0.9384,6.400000000000003e-06
183,0.9996888888888888,0.9366,6.400000000000003e-06
184,0.9998444444444444,0.938,6.400000000000003e-06
185,0.9997777777777778,0.9384,6.400000000000003e-06
186,0.9996,0.9374,6.400000000000003e-06
187,0.9995555555555555,0.9362,6.400000000000003e-06
188,0.9996444444444444,0.9372,6.400000000000003e-06
189,0.9997777777777778,0.9386,6.400000000000003e-06
190,0.9997333333333334,0.938,6.400000000000003e-06
191,0.9997111111111111,0.9386,6.400000000000003e-06
192,0.9997111111111111,0.9384,6.400000000000003e-06
193,0.9996444444444444,0.938,6.400000000000003e-06
194,0.9999333333333333,0.9376,6.400000000000003e-06
195,0.9997333333333334,0.9374,6.400000000000003e-06
196,0.9997333333333334,0.937,6.400000000000003e-06
197,0.9997111111111111,0.9368,6.400000000000003e-06
198,0.9996222222222222,0.9366,6.400000000000003e-06
199,0.9996666666666667,0.9392,6.400000000000003e-06
200,0.9998222222222222,0.9372,6.400000000000003e-06
